"Sector name","ISIC Rev.3 correspondence"
"Agriculture","1, 2"
"Fishing","5"
"Mining and quarrying","10, 11, 12, 13, 14"
"Food and beverages","15, 16"
"Textiles and wearing apparel","17, 18, 19"
"Wood and paper","20, 21, 22"
"Petroleum, chemical, and non-metallic mineral products","23, 24, 25, 26"
"Metal products","27, 28"
"Electrical and machinery","29, 30, 31, 32, 33"
"Transport equipment","34, 35"
"Other manufacturing","36"
"Recycling","37"
"Electricity, gas, and water","40, 41"
"Construction","45"
"Maintenance and repair","50"
"Wholesale trade","51"
"Retail trade","52"
"Hotels and restaurants","55"
"Transport","60, 61, 62, 63"
"Post and telecommunications","64"
"Financial intermediation and business activities","65, 66, 67, 70, 71, 72, 73, 74"
"Public administration","75"
"Education, health, and other services","80, 85, 90, 91, 92, 93"
"Private households","95"
"Others","99"
