Table Code,Country Code,Year,ISIC,Note Class,Note
,004,,,Special note,"The majority of countries providing data to UNIDO are currently compiling their industrial statistics in accordance with ISIC Revision 4. The most recent time series data for those countries that are presented at 3-/4-digit levels of ISIC Revision 4, are now made available on UNIDOs product <INDSTAT4 ISIC Rev.4> in https://stat.unido.org."
,004,1973,,Type of enumeration,Not reported.
,004,1973,,Related national publications,"Statistical Information (annual); Statistical Research (quarterly), both published by the Central Statistics Office, Kabul."
,004,1973,,Deviations from ISIC,Data were converted from ISIC Revision 2 to ISIC Revision 3.
,004,1973,,Method of data collection,Not reported.
,004,1973,,Scope,All registered establishments.
,004,1973,,Data Supplier,"Central Statistics Office, Kabul."
,004,1973,,Reference Period,Fiscal year beginning 21 March of the year indicated.
,004,1973,,Source,Monthly survey.
,004,1974,,Deviations from ISIC,Data were converted from ISIC Revision 2 to ISIC Revision 3.
,004,1974,,Type of enumeration,Not reported.
,004,1974,,Related national publications,"Statistical Information (annual); Statistical Research (quarterly), both published by the Central Statistics Office, Kabul."
,004,1974,,Method of data collection,Not reported.
,004,1974,,Source,Monthly survey.
,004,1974,,Scope,All registered establishments.
,004,1974,,Data Supplier,"Central Statistics Office, Kabul."
,004,1974,,Reference Period,Fiscal year beginning 21 March of the year indicated.
,004,1975,,Deviations from ISIC,Data were converted from ISIC Revision 2 to ISIC Revision 3.
,004,1975,,Method of data collection,Not reported.
,004,1975,,Type of enumeration,Not reported.
,004,1975,,Related national publications,"Statistical Information (annual); Statistical Research (quarterly), both published by the Central Statistics Office, Kabul."
,004,1975,,Scope,All registered establishments.
,004,1975,,Reference Period,Fiscal year beginning 21 March of the year indicated.
,004,1975,,Data Supplier,"Central Statistics Office, Kabul."
,004,1975,,Source,Monthly survey.
,004,1976,,Type of enumeration,Not reported.
,004,1976,,Related national publications,"Statistical Information (annual); Statistical Research (quarterly), both published by the Central Statistics Office, Kabul."
,004,1976,,Deviations from ISIC,Data were converted from ISIC Revision 2 to ISIC Revision 3.
,004,1976,,Method of data collection,Not reported.
,004,1976,,Data Supplier,"Central Statistics Office, Kabul."
,004,1976,,Scope,All registered establishments.
,004,1976,,Reference Period,Fiscal year beginning 21 March of the year indicated.
,004,1976,,Source,Monthly survey.
,004,1977,,Deviations from ISIC,Data were converted from ISIC Revision 2 to ISIC Revision 3.
,004,1977,,Method of data collection,Not reported.
,004,1977,,Type of enumeration,Not reported.
,004,1977,,Related national publications,"Statistical Information (annual); Statistical Research (quarterly), both published by the Central Statistics Office, Kabul."
,004,1977,,Source,Monthly survey.
,004,1977,,Scope,All registered establishments.
,004,1977,,Data Supplier,"Central Statistics Office, Kabul."
,004,1977,,Reference Period,Fiscal year beginning 21 March of the year indicated.
,004,1978,,Deviations from ISIC,Data were converted from ISIC Revision 2 to ISIC Revision 3.
,004,1978,,Scope,All registered establishments.
,004,1978,,Data Supplier,"Central Statistics Office, Kabul."
,004,1978,,Reference Period,Fiscal year beginning 21 March of the year indicated.
,004,1978,,Source,Monthly survey.
,004,1978,,Method of data collection,Not reported.
,004,1978,,Type of enumeration,Not reported.
,004,1978,,Related national publications,"Statistical Information (annual); Statistical Research (quarterly), both published by the Central Statistics Office, Kabul."
,004,1979,,Type of enumeration,Not reported.
,004,1979,,Related national publications,"Statistical Information (annual); Statistical Research (quarterly), both published by the Central Statistics Office, Kabul."
,004,1979,,Data Supplier,"Central Statistics Office, Kabul."
,004,1979,,Source,Monthly survey.
,004,1979,,Scope,All registered establishments.
,004,1979,,Reference Period,Fiscal year beginning 21 March of the year indicated.
,004,1979,,Deviations from ISIC,Data were converted from ISIC Revision 2 to ISIC Revision 3.
,004,1979,,Method of data collection,Not reported.
,004,1980,,Deviations from ISIC,Data were converted from ISIC Revision 2 to ISIC Revision 3.
,004,1980,,Method of data collection,Not reported.
,004,1980,,Scope,All registered establishments.
