Group Code,Country or Area Code,Country or Area,SNA93 Table Code,Sub Group,Item Code,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2013,200,Icelandic króna       ,1993,Western calendar year,1.78624E+12,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2012,200,Icelandic króna       ,1993,Western calendar year,1.47839E+12,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2012,200,Icelandic króna       ,1993,Western calendar year,1.6994E+12,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2011,200,Icelandic króna       ,1993,Western calendar year,1.42409E+12,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2011,200,Icelandic króna       ,1993,Western calendar year,1.62832E+12,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2010,200,Icelandic króna       ,1993,Western calendar year,1.34404E+12,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2010,200,Icelandic króna       ,1993,Western calendar year,1.53593E+12,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2009,200,Icelandic króna       ,1993,Western calendar year,1.31638E+12,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2009,200,Icelandic króna       ,1993,Western calendar year,1.81556E+11,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2009,200,Icelandic króna       ,1993,Western calendar year,1.49793E+12,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2008,200,Icelandic króna       ,1993,Western calendar year,1.27635E+12,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2008,200,Icelandic króna       ,1993,Western calendar year,2.04001E+11,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2008,200,Icelandic króna       ,1993,Western calendar year,1.48035E+12,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2007,200,Icelandic króna       ,1993,Western calendar year,1.08828E+12,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2007,200,Icelandic króna       ,1993,Western calendar year,2.20251E+11,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2007,200,Icelandic króna       ,1993,Western calendar year,1.30853E+12,
201,352,Iceland,2.1,Industries,12,"Equals: VALUE ADDED, GROSS, in basic prices",B.1g,2006,200,Icelandic króna       ,1993,Western calendar year,9.62231E+11,
201,352,Iceland,2.1,Industries,32,Plus: Taxes less Subsidies on products,D.21-D.31,2006,200,Icelandic króna       ,1993,Western calendar year,2.06371E+11,
201,352,Iceland,2.1,Industries,16,Equals: GROSS DOMESTIC PRODUCT,B.1*g,2006,200,Icelandic króna       ,1993,Western calendar year,1.1686E+12,
201,352,Iceland,2.1,Industries,1,"Agriculture, hunting, forestry; fishing",A+B,2005,200,Icelandic króna       ,1993,Western calendar year,49689573125,
201,352,Iceland,2.1,Industries,22,"Agriculture, hunting, forestry",A,2005,200,Icelandic króna       ,1993,Western calendar year,10859329923,
201,352,Iceland,2.1,Industries,19,"Agriculture, hunting and related service activities",1,2005,200,Icelandic króna       ,1993,Western calendar year,10859329923,
