"Group Code","Country or Area Code","Country or Area","SNA93 Table Code","Sub Group","Item Code","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"204","144","Sri Lanka","2.4","Industries","1","Agriculture, forestry and fishing","A","2022","1000","Sri Lanka rupee","2008","Western calendar year","2112745440326.53",""
"204","144","Sri Lanka","2.4","Industries","30","Crop and animal production, hunting and related service activities","01","2022","1000","Sri Lanka rupee","2008","Western calendar year","1763992270983.43",""
"204","144","Sri Lanka","2.4","Industries","31","Forestry and logging","02","2022","1000","Sri Lanka rupee","2008","Western calendar year","74031778109.6364",""
"204","144","Sri Lanka","2.4","Industries","32","Fishing and aquaculture","03","2022","1000","Sri Lanka rupee","2008","Western calendar year","274721391233.464",""
"204","144","Sri Lanka","2.4","Industries","33","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2022","1000","Sri Lanka rupee","2008","Western calendar year","5386274317432.54",""
"204","144","Sri Lanka","2.4","Industries","2","Mining and quarrying","B","2022","1000","Sri Lanka rupee","2008","Western calendar year","451139002475.08",""
"204","144","Sri Lanka","2.4","Industries","3","Manufacturing","C","2022","1000","Sri Lanka rupee","2008","Western calendar year","4731616104282.64",""
"204","144","Sri Lanka","2.4","Industries","4","Electricity, gas, steam and air conditioning supply","D","2022","1000","Sri Lanka rupee","2008","Western calendar year","149772416379.333",""
"204","144","Sri Lanka","2.4","Industries","5","Water supply; sewerage, waste management and remediation activities","E","2022","1000","Sri Lanka rupee","2008","Western calendar year","53746794295.4834",""
"204","144","Sri Lanka","2.4","Industries","6","Construction","F","2022","1000","Sri Lanka rupee","2008","Western calendar year","1922678048967.82",""
"204","144","Sri Lanka","2.4","Industries","34","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2022","1000","Sri Lanka rupee","2008","Western calendar year","6261983393237.54",""
"204","144","Sri Lanka","2.4","Industries","7","Wholesale and retail trade; repair of motor vehicles and motorcycles","G","2022","1000","Sri Lanka rupee","2008","Western calendar year","3338996647627.36",""
"204","144","Sri Lanka","2.4","Industries","8","Transportation and storage","H","2022","1000","Sri Lanka rupee","2008","Western calendar year","2572028966552.36",""
"204","144","Sri Lanka","2.4","Industries","9","Accommodation and food service activities","I","2022","1000","Sri Lanka rupee","2008","Western calendar year","350957779057.826",""
"204","144","Sri Lanka","2.4","Industries","10","Information and communication","J","2022","1000","Sri Lanka rupee","2008","Western calendar year","565449000000",""
