"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Value","Value Footnotes"
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2021","1200","US dollars","2008","312791744.787515",""
"Timor-Leste","2.4","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2021","1200","US dollars","2008","2089029672.03353",""
"Timor-Leste","2.4","Industries","Mining and quarrying","B","2021","1200","US dollars","2008","2060848395.53206",""
"Timor-Leste","2.4","Industries","Manufacturing","C","2021","1200","US dollars","2008","27306620.0634034",""
"Timor-Leste","2.4","Industries","Electricity, gas, steam and air conditioning supply","D","2021","1200","US dollars","2008","874656.438057763",""
"Timor-Leste","2.4","Industries","Construction","F","2021","1200","US dollars","2008","165288324.57659",""
"Timor-Leste","2.4","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2021","1200","US dollars","2008","245908052.233088",""
"Timor-Leste","2.4","Industries","Information and communication","J","2021","1200","US dollars","2008","48535647.6435319",""
"Timor-Leste","2.4","Industries","Financial and insurance activities","K","2021","1200","US dollars","2008","22135089.7769401",""
"Timor-Leste","2.4","Industries","Real estate activities","L","2021","1200","US dollars","2008","195296650.222297",""
"Timor-Leste","2.4","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2021","1200","US dollars","2008","41790341.2149741",""
"Timor-Leste","2.4","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2021","1200","US dollars","2008","497295248.437294",""
"Timor-Leste","2.4","Industries","Other service activities","R+S+T","2021","1200","US dollars","2008","54463855.6307472",""
"Timor-Leste","2.4","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2021","1200","US dollars","2008","3672534626.5565",""
"Timor-Leste","2.4","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2021","1200","US dollars","2008","-28976530",""
"Timor-Leste","2.4","Industries","Plus: Taxes on products","D.21","2021","1200","US dollars","2008","76288000",""
"Timor-Leste","2.4","Industries","Less: Subsidies on products","D.31","2021","1200","US dollars","2008","105264530",""
"Timor-Leste","2.4","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2021","1200","US dollars","2008","3643558096.5565","1"
"Timor-Leste","2.4","Industries","Agriculture, forestry and fishing","A","2020","1200","US dollars","2008","283805739.60443",""
