Group Code,Country or Area Code,Country or Area,SNA93 Table Code,Sub Group,Item Code,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
201,659,Saint Kitts and Nevis,2.1,Industries,1,"Agriculture, hunting, forestry; fishing",A+B,2016,100,EC dollar,1993,Western calendar year,23971838.71,
201,659,Saint Kitts and Nevis,2.1,Industries,22,"Agriculture, hunting, forestry",A,2016,100,EC dollar,1993,Western calendar year,17226970.54,
201,659,Saint Kitts and Nevis,2.1,Industries,19,"Agriculture, hunting and related service activities",1,2016,100,EC dollar,1993,Western calendar year,16614552.58,
201,659,Saint Kitts and Nevis,2.1,Industries,20,"Forestry, logging and related service activities",2,2016,100,EC dollar,1993,Western calendar year,612417.962,
201,659,Saint Kitts and Nevis,2.1,Industries,21,Fishing,B,2016,100,EC dollar,1993,Western calendar year,6744868.17,
201,659,Saint Kitts and Nevis,2.1,Industries,2,Mining and quarrying,C,2016,100,EC dollar,1993,Western calendar year,2738435.662,
201,659,Saint Kitts and Nevis,2.1,Industries,3,Manufacturing,D,2016,100,EC dollar,1993,Western calendar year,144678285.3,
201,659,Saint Kitts and Nevis,2.1,Industries,4,"Electricity, gas and water supply",E,2016,100,EC dollar,1993,Western calendar year,30018562.32,
201,659,Saint Kitts and Nevis,2.1,Industries,5,Construction,F,2016,100,EC dollar,1993,Western calendar year,419180845.6,
201,659,Saint Kitts and Nevis,2.1,Industries,6,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants",G+H,2016,100,EC dollar,1993,Western calendar year,325255016.1,
201,659,Saint Kitts and Nevis,2.1,Industries,23,"Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods",G,2016,100,EC dollar,1993,Western calendar year,173204332.8,
201,659,Saint Kitts and Nevis,2.1,Industries,24,Hotels and restaurants,H,2016,100,EC dollar,1993,Western calendar year,152050683.4,
201,659,Saint Kitts and Nevis,2.1,Industries,7,"Transport, storage and communications",I,2016,100,EC dollar,1993,Western calendar year,256211482.7,
201,659,Saint Kitts and Nevis,2.1,Industries,25,"Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies",60-63,2016,100,EC dollar,1993,Western calendar year,158238664.4,
201,659,Saint Kitts and Nevis,2.1,Industries,26,Post and telecommunications,64,2016,100,EC dollar,1993,Western calendar year,97972818.34,
201,659,Saint Kitts and Nevis,2.1,Industries,8,"Financial intermediation; real estate, renting and business activities",J+K,2016,100,EC dollar,1993,Western calendar year,478899462.5,
