ROW|GrossOutput
ABW_A01|30067.744000000002
ABW_A02|20819.893000000004
ABW_A03|101257.62500000003
ABW_A04|101780.364
ABW_A05|34129.596
ABW_A06|102351.96500000001
ABW_A07|725805.908
ABW_A08|54903.475
ABW_A09|103079.03099999999
ABW_A10|65110.132
ABW_A11|53228.439999999995
ABW_A12|28113.909
ABW_A13|245240.90799999994
ABW_A14|376508.17799999996
ABW_A15|47329.508
ABW_A16|330037.436
ABW_A17|271419.441
ABW_A18|678821.138
ABW_A19|321807.31600000005
ABW_A20|201193.67200000002
ABW_A21|1035736.9749999999
ABW_A22|421465.20200000005
ABW_A23|572452.9
ABW_A24|37222.28200000001
ABW_A25|29782.111999999997
ABW_A26|26376.316000000003
AFG_A01|4188533.090999999
AFG_A02|208474.14000000004
AFG_A03|213251.453
AFG_A04|1240496.592
AFG_A05|261580.17200000002
AFG_A06|735244.3969999998
AFG_A07|1897637.6330000001
AFG_A08|778813.347
AFG_A09|2084524.7969999998
AFG_A10|946938.892
AFG_A11|310082.39700000006
AFG_A12|76019.78900000002
AFG_A13|685614.092
AFG_A14|3267490.230000001
AFG_A15|73215.38600000001
AFG_A16|1676866.0020000003
AFG_A17|1509868.1229999997
AFG_A18|1071232.08
AFG_A19|2802022.1549999993
AFG_A20|3276519.751
AFG_A21|7351935.068999999
AFG_A22|1900526.042
AFG_A23|2813029.8079999997
AFG_A24|45521.13000000001
AFG_A25|94449.89799999999
AFG_A26|9592.518
AGO_A01|12212768.824000001
AGO_A02|1878452.096
AGO_A03|30562080.586999997
AGO_A04|2893227.0039999997
AGO_A05|518294.231
AGO_A06|1551210.926
AGO_A07|4412841.308
AGO_A08|1619105.846
AGO_A09|4789554.547
AGO_A10|2168864.5229999996
AGO_A11|712274.0279999999
AGO_A12|77505.31900000005
AGO_A13|9633743.929999998
AGO_A14|18123180.155
AGO_A15|568147.2270000001
AGO_A16|13843693.303999998
AGO_A17|11149775.693
AGO_A18|9705192.320999999
AGO_A19|5240967.472999999
AGO_A20|4040485.283
AGO_A21|19766577.742
AGO_A22|7707874.102999998
AGO_A23|7560018.108
AGO_A24|135249.20999999996
AGO_A25|440667.023
AGO_A26|22532.512999999995
ALB_A01|2875914.324
ALB_A02|141041.787
ALB_A03|343187.849
ALB_A04|673069.7609999999
ALB_A05|460641.436
ALB_A06|427517.708
ALB_A07|1033430.213
ALB_A08|460747.66899999994
ALB_A09|1139348.098
ALB_A10|421191.39699999994
ALB_A11|231415.103
ALB_A12|31619.71999999999
ALB_A13|922523.3049999999
ALB_A14|4142282.886000001
ALB_A15|81224.15599999999
ALB_A16|1339919.0159999998
