|ROW|COL|Value
0|ABW_A01|ABW_A01|0.141
1|ABW_A02|ABW_A01|0.59
2|ABW_A03|ABW_A01|3.958
3|ABW_A04|ABW_A01|74.832
4|ABW_A05|ABW_A01|2.364
5|ABW_A06|ABW_A01|20.508
6|ABW_A07|ABW_A01|42.042
7|ABW_A08|ABW_A01|1.326
8|ABW_A09|ABW_A01|3.421
9|ABW_A10|ABW_A01|0.429
10|ABW_A11|ABW_A01|2.219
11|ABW_A12|ABW_A01|0.198
12|ABW_A13|ABW_A01|88.441
13|ABW_A14|ABW_A01|19.841
14|ABW_A15|ABW_A01|3.981
15|ABW_A16|ABW_A01|244.61
16|ABW_A17|ABW_A01|24.105
17|ABW_A18|ABW_A01|10.586
18|ABW_A19|ABW_A01|47.384
19|ABW_A20|ABW_A01|5.333
20|ABW_A21|ABW_A01|691.306
21|ABW_A22|ABW_A01|1.234
22|ABW_A23|ABW_A01|21.755
23|ABW_A24|ABW_A01|0.094
24|ABW_A25|ABW_A01|0.494
25|ABW_A26|ABW_A01|0.242
26|ABW_LG01|ABW_A01|15.564
27|ABW_LG02|ABW_A01|-384.624
28|ABW_LH01|ABW_A01|373.216
29|ABW_LK01|ABW_A01|246.867
30|ABW_LK02|ABW_A01|20.189
31|ABW_LK03|ABW_A01|83.024
32|Imp_A01|ABW_A01|3803.069
33|Imp_A02|ABW_A01|365.749
34|Imp_A03|ABW_A01|748.247
35|Imp_A04|ABW_A01|2278.728
36|Imp_A05|ABW_A01|738.352
37|Imp_A06|ABW_A01|742.48
38|Imp_A07|ABW_A01|4883.879
39|Imp_A08|ABW_A01|1009.446
40|Imp_A09|ABW_A01|2077.604
41|Imp_A10|ABW_A01|641.465
42|Imp_A11|ABW_A01|412.929
43|Imp_A12|ABW_A01|312.814
44|Imp_A13|ABW_A01|410.585
45|Imp_A14|ABW_A01|567.062
46|Imp_A15|ABW_A01|311.007
47|Imp_A16|ABW_A01|462.84
48|Imp_A17|ABW_A01|618.018
49|Imp_A18|ABW_A01|486.96
50|Imp_A19|ABW_A01|737.867
51|Imp_A20|ABW_A01|491.135
52|Imp_A21|ABW_A01|2826.376
53|Imp_A22|ABW_A01|443.338
54|Imp_A23|ABW_A01|1047.102
55|Imp_A24|ABW_A01|311.524
56|Imp_A25|ABW_A01|196.357
57|Imp_A26|ABW_A01|1493.834
58|Imp_ZL0008|ABW_A01|-16.693
59|Imp_ZLR1|ABW_A01|0.0
0|ABW_A01|ABW_A02|0.092
1|ABW_A02|ABW_A02|0.141
2|ABW_A03|ABW_A02|1.255
3|ABW_A04|ABW_A02|4.331
4|ABW_A05|ABW_A02|2.499
5|ABW_A06|ABW_A02|1.228
6|ABW_A07|ABW_A02|4.026
7|ABW_A08|ABW_A02|0.155
8|ABW_A09|ABW_A02|0.636
9|ABW_A10|ABW_A02|0.408
10|ABW_A11|ABW_A02|3.041
11|ABW_A12|ABW_A02|0.097
12|ABW_A13|ABW_A02|2.052
13|ABW_A14|ABW_A02|0.961
14|ABW_A15|ABW_A02|0.4
15|ABW_A16|ABW_A02|23.313
16|ABW_A17|ABW_A02|3.96
17|ABW_A18|ABW_A02|0.631
18|ABW_A19|ABW_A02|4.05
19|ABW_A20|ABW_A02|1.267
20|ABW_A21|ABW_A02|21.304
21|ABW_A22|ABW_A02|0.08
22|ABW_A23|ABW_A02|6.96
23|ABW_A24|ABW_A02|0.078
24|ABW_A25|ABW_A02|0.233
25|ABW_A26|ABW_A02|0.103
26|ABW_LG01|ABW_A02|1.678
27|ABW_LG02|ABW_A02|-263.79
28|ABW_LH01|ABW_A02|190.136
29|ABW_LK01|ABW_A02|31.578
30|ABW_LK02|ABW_A02|2.241
31|ABW_LK03|ABW_A02|10.675
32|Imp_A01|ABW_A02|1288.533
33|Imp_A02|ABW_A02|456.918
34|Imp_A03|ABW_A02|835.062
35|Imp_A04|ABW_A02|1527.554
36|Imp_A05|ABW_A02|800.867
37|Imp_A06|ABW_A02|652.953
38|Imp_A07|ABW_A02|1831.081
39|Imp_A08|ABW_A02|879.232
40|Imp_A09|ABW_A02|1343.787
41|Imp_A10|ABW_A02|597.769
42|Imp_A11|ABW_A02|488.914
43|Imp_A12|ABW_A02|345.672
44|Imp_A13|ABW_A02|442.512
45|Imp_A14|ABW_A02|699.505
46|Imp_A15|ABW_A02|392.626
47|Imp_A16|ABW_A02|605.582
48|Imp_A17|ABW_A02|820.909
49|Imp_A18|ABW_A02|535.523
50|Imp_A19|ABW_A02|843.326
51|Imp_A20|ABW_A02|584.182
52|Imp_A21|ABW_A02|1829.644
53|Imp_A22|ABW_A02|535.3389999999999
54|Imp_A23|ABW_A02|1217.859
55|Imp_A24|ABW_A02|382.051
56|Imp_A25|ABW_A02|191.073
57|Imp_A26|ABW_A02|648.835
58|Imp_ZL0008|ABW_A02|-13.234
59|Imp_ZLR1|ABW_A02|0.0
0|ABW_A01|ABW_A03|2.507
1|ABW_A02|ABW_A03|1.287
2|ABW_A03|ABW_A03|466.41
3|ABW_A04|ABW_A03|3.704
4|ABW_A05|ABW_A03|33.156
5|ABW_A06|ABW_A03|124.691
6|ABW_A07|ABW_A03|331.08
7|ABW_A08|ABW_A03|130.101
8|ABW_A09|ABW_A03|286.27
9|ABW_A10|ABW_A03|37.914
10|ABW_A11|ABW_A03|91.594
11|ABW_A12|ABW_A03|45.047
12|ABW_A13|ABW_A03|3734.03
13|ABW_A14|ABW_A03|2501.44
14|ABW_A15|ABW_A03|27.568
15|ABW_A16|ABW_A03|952.127
16|ABW_A17|ABW_A03|273.749
17|ABW_A18|ABW_A03|140.155
18|ABW_A19|ABW_A03|1100.18
19|ABW_A20|ABW_A03|160.611
20|ABW_A21|ABW_A03|9939.58
21|ABW_A22|ABW_A03|16.928
22|ABW_A23|ABW_A03|99.543
23|ABW_A24|ABW_A03|0.515
24|ABW_A25|ABW_A03|15.905
25|ABW_A26|ABW_A03|2.788
26|ABW_LG01|ABW_A03|993.727
