|ROW|COLNew|Value
0|ABW_A01|ABW_A01|0.141
1|ABW_A01|ABW_A02|0.092
2|ABW_A01|ABW_A03|2.414
3|ABW_A01|ABW_A04|605.363
4|ABW_A01|ABW_A05|3.361
5|ABW_A01|ABW_A06|153.426
6|ABW_A01|ABW_A07|94.774
7|ABW_A01|ABW_A08|0.186
8|ABW_A01|ABW_A09|0.166
9|ABW_A01|ABW_A10|0.108
10|ABW_A01|ABW_A11|1.042
11|ABW_A01|ABW_A12|0.121
12|ABW_A01|ABW_A13|0.921
13|ABW_A01|ABW_A14|72.272
14|ABW_A01|ABW_A15|0.302
15|ABW_A01|ABW_A16|4.486
16|ABW_A01|ABW_A17|4.507
17|ABW_A01|ABW_A18|319.163
18|ABW_A01|ABW_A19|1.464
19|ABW_A01|ABW_A20|0.411
20|ABW_A01|ABW_A21|117.989
21|ABW_A01|ABW_A22|9.8
22|ABW_A01|ABW_A23|30.123
23|ABW_A01|ABW_A24|0.299
24|ABW_A01|ABW_A25|0.135
25|ABW_A01|ABW_A26|0.144
26|ABW_A01|ABW_XG|1.609
27|ABW_A01|ABW_XH|682.006
28|ABW_A01|ABW_XK01|11.91
29|ABW_A01|ABW_XK02|72.78
30|ABW_A01|ABW_XK03|0.043
31|ABW_A01|ABW_XNPISH|13.245
32|ABW_A02|ABW_A01|0.586
33|ABW_A02|ABW_A02|0.141
34|ABW_A02|ABW_A03|1.234
35|ABW_A02|ABW_A04|31.425
36|ABW_A02|ABW_A05|0.739
37|ABW_A02|ABW_A06|1.132
38|ABW_A02|ABW_A07|1.452
39|ABW_A02|ABW_A08|0.881
40|ABW_A02|ABW_A09|0.852
41|ABW_A02|ABW_A10|0.53
42|ABW_A02|ABW_A11|1.025
43|ABW_A02|ABW_A12|0.472
44|ABW_A02|ABW_A13|1.068
45|ABW_A02|ABW_A14|1.048
46|ABW_A02|ABW_A15|1.22
47|ABW_A02|ABW_A16|0.9
48|ABW_A02|ABW_A17|1.073
49|ABW_A02|ABW_A18|37.311
50|ABW_A02|ABW_A19|1.47
51|ABW_A02|ABW_A20|1.411
52|ABW_A02|ABW_A21|2.464
53|ABW_A02|ABW_A22|1.007
54|ABW_A02|ABW_A23|2.452
55|ABW_A02|ABW_A24|1.169
56|ABW_A02|ABW_A25|0.52
57|ABW_A02|ABW_A26|0.414
58|ABW_A02|ABW_XG|0.569
59|ABW_A02|ABW_XH|18.877
60|ABW_A02|ABW_XK01|0.06
61|ABW_A02|ABW_XK02|3.873
62|ABW_A02|ABW_XK03|0.06
63|ABW_A02|ABW_XNPISH|0.201
64|ABW_A03|ABW_A01|4.107
65|ABW_A03|ABW_A02|1.308
66|ABW_A03|ABW_A03|466.41
67|ABW_A03|ABW_A04|52.031
68|ABW_A03|ABW_A05|3.126
69|ABW_A03|ABW_A06|103.066
70|ABW_A03|ABW_A07|56729.8
71|ABW_A03|ABW_A08|103.151
72|ABW_A03|ABW_A09|4.245
73|ABW_A03|ABW_A10|5.223
74|ABW_A03|ABW_A11|9.846
75|ABW_A03|ABW_A12|496.226
76|ABW_A03|ABW_A13|22539.1
77|ABW_A03|ABW_A14|5830.07
78|ABW_A03|ABW_A15|1.009
79|ABW_A03|ABW_A16|40.862
80|ABW_A03|ABW_A17|18.076
81|ABW_A03|ABW_A18|173.645
82|ABW_A03|ABW_A19|1884.07
83|ABW_A03|ABW_A20|25.963
84|ABW_A03|ABW_A21|400.212
85|ABW_A03|ABW_A22|689.916
86|ABW_A03|ABW_A23|171.385
87|ABW_A03|ABW_A24|0.379
88|ABW_A03|ABW_A25|0.917
89|ABW_A03|ABW_A26|0.113
90|ABW_A03|ABW_XG|9.509
