"","Year","ROW","COL","Value","GrossOutput_Row","GrossOutput_Col"
"1",1997,"ABW_A01","ABW_A01",0.236,3928.60900000007,3928.60900000007
"2",1997,"ABW_A02","ABW_A01",0.105,1650.46999999993,3928.60900000007
"3",1997,"ABW_A03","ABW_A01",4.081,42557.9689999999,3928.60900000007
"4",1997,"ABW_A04","ABW_A01",7.69,46792.0439999971,3928.60900000007
"5",1997,"ABW_A05","ABW_A01",0.317,7379.04499999997,3928.60900000007
"6",1997,"ABW_A06","ABW_A01",19.682,36782.6719999933,3928.60900000007
"7",1997,"ABW_A07","ABW_A01",60.529,210494.412,3928.60900000007
"8",1997,"ABW_A08","ABW_A01",0.1,8948.28599999994,3928.60900000007
"9",1997,"ABW_A09","ABW_A01",0.1,22914.4210000004,3928.60900000007
"10",1997,"ABW_A10","ABW_A01",0.1,13430.9899999999,3928.60900000007
"11",1997,"ABW_A11","ABW_A01",1.653,17204.2209999984,3928.60900000007
"12",1997,"ABW_A12","ABW_A01",0.1,4313.98599999998,3928.60900000007
"13",1997,"ABW_A13","ABW_A01",122.922,124216.194000026,3928.60900000007
"14",1997,"ABW_A14","ABW_A01",41.483,262950.805,3928.60900000007
"15",1997,"ABW_A15","ABW_A01",5.055,7937.34099999996,3928.60900000007
"16",1997,"ABW_A16","ABW_A01",333.79,158799.651,3928.60900000007
"17",1997,"ABW_A17","ABW_A01",27.543,127906.318,3928.60900000007
"18",1997,"ABW_A18","ABW_A01",15.907,336270.230000002,3928.60900000007
"19",1997,"ABW_A19","ABW_A01",90.852,142682.436,3928.60900000007
"20",1997,"ABW_A20","ABW_A01",8.697,104021.366,3928.60900000007
"21",1997,"ABW_A21","ABW_A01",831.334,505193.476999897,3928.60900000007
"22",1997,"ABW_A22","ABW_A01",2.406,259693.84,3928.60900000007
"23",1997,"ABW_A23","ABW_A01",38.049,319139.446,3928.60900000007
"24",1997,"ABW_A24","ABW_A01",0.1,5056.53399999998,3928.60900000007
"25",1997,"ABW_A25","ABW_A01",0.1,4941.32999999995,3928.60900000007
"26",1997,"ABW_A26","ABW_A01",0.103,2258.92100000001,3928.60900000007
"27",1997,"LG01_LG01","ABW_A01",54.076,NA,3928.60900000007
"28",1997,"LG02_LG02","ABW_A01",-16.842,NA,3928.60900000007
"29",1997,"LH01_LH01","ABW_A01",1507.2,NA,3928.60900000007
"30",1997,"LK01_LK01","ABW_A01",920.409,NA,3928.60900000007
"31",1997,"LK02_LK02","ABW_A01",75.269,NA,3928.60900000007
"32",1997,"LK03_LK03","ABW_A01",309.552,NA,3928.60900000007
"33",1997,"Imp_A01","ABW_A01",402.99,NA,3928.60900000007
"34",1997,"Imp_A02","ABW_A01",23.094,NA,3928.60900000007
"35",1997,"Imp_A03","ABW_A01",61.028,NA,3928.60900000007
"36",1997,"Imp_A04","ABW_A01",240.204,NA,3928.60900000007
"37",1997,"Imp_A05","ABW_A01",75.487,NA,3928.60900000007
"38",1997,"Imp_A06","ABW_A01",76.662,NA,3928.60900000007
"39",1997,"Imp_A07","ABW_A01",564.06,NA,3928.60900000007
"40",1997,"Imp_A08","ABW_A01",91.409,NA,3928.60900000007
"41",1997,"Imp_A09","ABW_A01",244.283,NA,3928.60900000007
"42",1997,"Imp_A10","ABW_A01",52.964,NA,3928.60900000007
"43",1997,"Imp_A11","ABW_A01",35.167,NA,3928.60900000007
"44",1997,"Imp_A12","ABW_A01",24.061,NA,3928.60900000007
"45",1997,"Imp_A13","ABW_A01",35.12,NA,3928.60900000007
"46",1997,"Imp_A14","ABW_A01",33.503,NA,3928.60900000007
"47",1997,"Imp_A15","ABW_A01",18.227,NA,3928.60900000007
"48",1997,"Imp_A16","ABW_A01",23.44,NA,3928.60900000007
"49",1997,"Imp_A17","ABW_A01",26.013,NA,3928.60900000007
"50",1997,"Imp_A18","ABW_A01",34.742,NA,3928.60900000007
"51",1997,"Imp_A19","ABW_A01",93.557,NA,3928.60900000007
"52",1997,"Imp_A20","ABW_A01",35.442,NA,3928.60900000007
"53",1997,"Imp_A21","ABW_A01",312.292,NA,3928.60900000007
"54",1997,"Imp_A22","ABW_A01",27.057,NA,3928.60900000007
"55",1997,"Imp_A23","ABW_A01",85.479,NA,3928.60900000007
"56",1997,"Imp_A24","ABW_A01",19.138,NA,3928.60900000007
"57",1997,"Imp_A25","ABW_A01",19.463,NA,3928.60900000007
"58",1997,"Imp_A26","ABW_A01",146.272,NA,3928.60900000007
"59",1997,"Imp_ZZZ","ABW_A01",-3335.243,NA,3928.60900000007
"60",1997,"ABW_A01","ABW_A02",0.1,3928.60900000007,1650.46999999993
"61",1997,"ABW_A02","ABW_A02",0.102,1650.46999999993,1650.46999999993
"62",1997,"ABW_A03","ABW_A02",3.56,42557.9689999999,1650.46999999993
"63",1997,"ABW_A04","ABW_A02",1.365,46792.0439999971,1650.46999999993
"64",1997,"ABW_A05","ABW_A02",1.081,7379.04499999997,1650.46999999993
"65",1997,"ABW_A06","ABW_A02",3.534,36782.6719999933,1650.46999999993
"66",1997,"ABW_A07","ABW_A02",14.438,210494.412,1650.46999999993
"67",1997,"ABW_A08","ABW_A02",0.1,8948.28599999994,1650.46999999993
"68",1997,"ABW_A09","ABW_A02",0.1,22914.4210000004,1650.46999999993
"69",1997,"ABW_A10","ABW_A02",0.1,13430.9899999999,1650.46999999993
"70",1997,"ABW_A11","ABW_A02",7.264,17204.2209999984,1650.46999999993
"71",1997,"ABW_A12","ABW_A02",0.1,4313.98599999998,1650.46999999993
"72",1997,"ABW_A13","ABW_A02",6.891,124216.194000026,1650.46999999993
"73",1997,"ABW_A14","ABW_A02",4.957,262950.805,1650.46999999993
"74",1997,"ABW_A15","ABW_A02",1.797,7937.34099999996,1650.46999999993
"75",1997,"ABW_A16","ABW_A02",77.374,158799.651,1650.46999999993
"76",1997,"ABW_A17","ABW_A02",15.282,127906.318,1650.46999999993
"77",1997,"ABW_A18","ABW_A02",2.26,336270.230000002,1650.46999999993
"78",1997,"ABW_A19","ABW_A02",20.51,142682.436,1650.46999999993
"79",1997,"ABW_A20","ABW_A02",5.986,104021.366,1650.46999999993
"80",1997,"ABW_A21","ABW_A02",60.468,505193.476999897,1650.46999999993
"81",1997,"ABW_A22","ABW_A02",0.295,259693.84,1650.46999999993
"82",1997,"ABW_A23","ABW_A02",27.742,319139.446,1650.46999999993
"83",1997,"ABW_A24","ABW_A02",0.11,5056.53399999998,1650.46999999993
"84",1997,"ABW_A25","ABW_A02",0.1,4941.32999999995,1650.46999999993
"85",1997,"ABW_A26","ABW_A02",0.101,2258.92100000001,1650.46999999993
"86",1997,"LG01_LG01","ABW_A02",8.054,NA,1650.46999999993
"87",1997,"LG02_LG02","ABW_A02",-8.158,NA,1650.46999999993
"88",1997,"LH01_LH01","ABW_A02",878.619,NA,1650.46999999993
"89",1997,"LK01_LK01","ABW_A02",161.772,NA,1650.46999999993
"90",1997,"LK02_LK02","ABW_A02",11.48,NA,1650.46999999993
"91",1997,"LK03_LK03","ABW_A02",54.692,NA,1650.46999999993
"92",1997,"Imp_A01","ABW_A02",93.778,NA,1650.46999999993
"93",1997,"Imp_A02","ABW_A02",39.931,NA,1650.46999999993
"94",1997,"Imp_A03","ABW_A02",74.428,NA,1650.46999999993
"95",1997,"Imp_A04","ABW_A02",159.261,NA,1650.46999999993
"96",1997,"Imp_A05","ABW_A02",88.87,NA,1650.46999999993
"97",1997,"Imp_A06","ABW_A02",63.629,NA,1650.46999999993
"98",1997,"Imp_A07","ABW_A02",175.296,NA,1650.46999999993
